,precision,recall,f1-score,support
Akumulasi,0.0975609756097561,0.8,0.17391304347826086,10.0
Distribusi,0.18181818181818182,0.6,0.27906976744186046,10.0
Markdown,0.7808219178082192,0.47107438016528924,0.5876288659793815,121.0
Markup,0.6415094339622641,0.34,0.4444444444444444,100.0
accuracy,0.43568464730290457,0.43568464730290457,0.43568464730290457,0.43568464730290457
macro avg,0.42542762729960526,0.5527685950413223,0.3712640303359868,241.0
weighted avg,0.6698099046692959,0.43568464730290457,0.49824632919979595,241.0
