Return,RVOL,TrendDiff,PricePosition,Breakout,Breakdown,Label
-0.0333321522446104,-0.01990235441512765,-0.1523422416195161,1.0971322874464529,-0.2688913505455693,-0.19410028147334082,Akumulasi
2.7155063800564223,0.6698575364497567,-0.1523422416195161,1.5996830411961103,3.7189742175456435,-0.19410028147334082,Distribusi
-1.5401797688270618,0.18429907456524805,-0.1523422416195161,0.2703004730002257,-0.2688913505455693,-0.19410028147334082,Distribusi
0.17884827230433198,-0.1877250294284746,-0.1523422416195161,0.45366358585483046,-0.2688913505455693,-0.19410028147334082,Distribusi
0.8658452283860488,-0.08537093060725796,-0.1523422416195161,1.2329568154869008,-0.2688913505455693,-0.19410028147334082,Distribusi
3.049717133608188,1.4946314984193836,0.15052712606479307,1.520177941481809,3.7189742175456435,-0.19410028147334082,Distribusi
-1.8891164542942072,0.018264747388234734,0.12466306381975249,0.4689438452593807,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.44495032221454656,-0.31712989656553303,0.3244447717203872,0.2633549005436119,-0.2688913505455693,-0.19410028147334082,Distribusi
-1.0681587312420513,-0.054294861671440105,0.44255645213426054,-0.2506174612458107,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.7155511561762607,-0.041102042284930716,0.37939361074038724,-0.5846994964089353,-0.2688913505455693,-0.19410028147334082,Distribusi
1.7146394724947083,-0.10458901427755696,-0.003741976753204801,0.2633549005436119,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.2920387969939727,-0.3382151384355096,-0.12511172555115474,0.1348618100962564,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.0333321522446104,0.32261307791130783,-0.18317847611274168,0.1348618100962564,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.24102673272274366,-0.485960038707467,-0.10886760865308868,0.0320673377383716,-0.2688913505455693,-0.19410028147334082,Distribusi
0.01873827349716614,-0.1753670378992006,0.06782142829136988,0.057765955827842705,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.5016350278248077,-0.24604281425632007,-0.04517111507442081,-0.1735216069773972,-0.2688913505455693,-0.19410028147334082,Distribusi
-2.285091252641601,0.20021968918064825,-0.3483574084101561,-1.2785621848246558,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.35743619516814934,0.17217193267079597,-0.6968396357704909,-1.3653664059268693,-0.2688913505455693,-0.19410028147334082,Distribusi
1.1602999194354988,0.2917672216806154,-0.9062580241481162,-0.812560576802246,-0.2688913505455693,-0.19410028147334082,Distribusi
-1.5282816217296082,0.80896041803218,-1.2866396735462184,-1.5161316320517666,-0.2688913505455693,-0.19410028147334082,Distribusi
0.6206292598082065,0.3340843865493102,-1.6026041106624018,-0.8202428813181643,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.24940151419363632,-0.1642338929285659,-1.5269530911653548,-0.9066688071222455,-0.2688913505455693,-0.19410028147334082,Distribusi
0.23754892284589568,-0.5311592554985499,-1.4306653132187892,-0.798636399867144,-0.2688913505455693,-0.19410028147334082,Distribusi
0.290534451819643,-0.2672589158451899,-1.4579336182437486,-0.6689975111610221,-0.2688913505455693,-0.19410028147334082,Distribusi
0.6115663372487696,-0.8360652659159001,-1.175669073665125,-0.40971973374877835,-0.2688913505455693,-0.19410028147334082,Distribusi
0.01994308450492616,-0.8908433762297793,-0.868033622188814,-0.388113252297758,-0.2688913505455693,-0.19410028147334082,Distribusi
0.6055087647318431,-0.2272656635461023,-0.529509772426764,0.05995307226098936,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.6666816000206943,-0.8744737160557976,-0.31098089446047555,-0.2287462969143459,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.4592260968955849,-1.0266558459259252,-0.22039889062187068,-0.4212125430312361,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.8900722967169132,0.056288737061079994,-0.33592234462216464,-0.8061450352650164,-0.2688913505455693,-0.19410028147334082,Distribusi
1.4836018682622236,-0.7600106678387288,-0.23761910993308427,-0.13251317385590086,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.45799873682454,-0.3098082287711888,-0.28518244291599687,-0.3249794199727909,-0.2688913505455693,-0.19410028147334082,Distribusi
-1.7952368841376454,0.3086915614760591,-0.4301330416562614,-1.1189026852049626,-0.2688913505455693,-0.19410028147334082,Distribusi
0.9512511763694363,-0.1910455126502757,-0.41920129908943554,-0.5029311661242544,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.4111765236529061,-0.21588862227101252,-0.3242570768663355,-0.6991751588074886,-0.2688913505455693,-0.19410028147334082,Distribusi
0.34645987056269706,-0.4524814996723891,-0.4201752372553841,-0.09642575270898392,-0.2688913505455693,-0.19410028147334082,Distribusi
-1.1128874991254551,-0.09259420620519361,-0.6520059513322852,-0.8338643587546771,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.2524537951431014,0.10160777669881,-0.6657256373097102,-0.9813520799638157,-0.2688913505455693,-0.19410028147334082,Distribusi
0.021611660152575537,2.2885318529701606,-0.7700263294835431,-0.944480149661531,-0.2688913505455693,-0.19410028147334082,Distribusi
3.645160181920366,2.831656022305293,-0.4873413323155128,1.5259391805915412,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.3470851079207665,0.02907249591201724,-0.2708588375191099,0.6445926523951836,-0.2688913505455693,-0.19410028147334082,Distribusi
-0.19087952022312568,0.10247064216107363,0.07289305533364733,0.5457901983812946,-0.2688913505455693,-0.19410028147334082,Distribusi
