Date,Open,High,Low,Close,Volume,Return,RVOL,MA5,MA20,TrendDiff,Trend,Support,Resistance,PricePosition,Breakout,Breakdown,Confidence,Label
2021-01-18,6955.0,7125.0,6845.0,7120.0,86343000,0.02372393961179009,0.9542752707272915,7075.0,7055.0,0.002834868887313962,Sideways,6720.0,7380.0,0.6060606060606061,0,0,Low,Distribusi
2021-01-19,7120.0,7120.0,7005.0,7095.0,73777000,-0.0035112359550562022,0.8281339009353085,7062.0,7058.333333333333,0.0005194805194805624,Sideways,6720.0,7380.0,0.5681818181818182,0,0,Low,Distribusi
2021-01-20,7165.0,7295.0,7070.0,7095.0,107216000,0.0,1.1849337952434593,7057.0,7061.153846153846,-0.0005882673348220986,Sideways,6720.0,7380.0,0.5681818181818182,0,0,Low,Distribusi
2021-01-21,7280.0,7300.0,7060.0,7075.0,66428000,-0.0028188865398167673,0.7483622394087727,7068.0,7062.142857142857,0.0008293719024982668,Sideways,6720.0,7380.0,0.5378787878787878,0,0,Low,Distribusi
2021-01-22,7075.0,7160.0,7075.0,7080.0,80829000,0.0007067137809186885,0.9160602085933698,7093.0,7063.333333333333,0.004200094384143507,Sideways,6720.0,7380.0,0.5454545454545454,0,0,Low,Distribusi
2021-01-25,7200.0,7200.0,7000.0,7035.0,76836500,-0.006355932203389814,0.8779003526571756,7076.0,7061.5625,0.0020445191839624727,Sideways,6720.0,7380.0,0.4772727272727273,0,0,Low,Distribusi
2021-01-26,6955.0,7000.0,6820.0,6820.0,98658000,-0.03056147832267231,1.118850133736795,7021.0,7047.35294117647,-0.003739409874379154,Sideways,6720.0,7380.0,0.15151515151515152,0,0,Low,Distribusi
2021-01-27,6820.0,6930.0,6705.0,6790.0,97920000,-0.004398826979472137,1.1037063545960994,6960.0,7033.055555555556,-0.010387456060665917,Downtrend,6705.0,7380.0,0.1259259259259259,0,0,Low,Distribusi
2021-01-28,6790.0,6925.0,6790.0,6900.0,104627000,0.016200294550809957,1.168279242712701,6925.0,7026.0526315789475,-0.014382561144612178,Downtrend,6705.0,7380.0,0.28888888888888886,0,0,Low,Distribusi
2021-01-29,6900.0,7000.0,6760.0,6760.0,132762500,-0.020289855072463725,1.4475265164070268,6861.0,7012.75,-0.021639157249295927,Downtrend,6705.0,7380.0,0.08148148148148149,0,0,Medium,Distribusi
2021-02-01,6760.0,6920.0,6595.0,6820.0,113129000,0.008875739644970349,1.1911274800897906,6818.0,7012.0,-0.02766685681688534,Downtrend,6595.0,7380.0,0.28662420382165604,0,0,Low,Distribusi
2021-02-02,6965.0,6980.0,6800.0,6800.0,86741000,-0.0029325513196480912,0.9220713092857697,6814.0,6997.5,-0.026223651304037157,Downtrend,6595.0,7380.0,0.2611464968152866,0,0,Low,Distribusi
2021-02-03,7000.0,7000.0,6825.0,6825.0,67291000,0.003676470588235281,0.7239579004672198,6821.0,6991.5,-0.024386755345777014,Downtrend,6595.0,7380.0,0.2929936305732484,0,0,Low,Distribusi
2021-02-04,6920.0,7000.0,6835.0,6855.0,80950500,0.00439560439560438,0.8664451777459292,6812.0,6986.0,-0.024906956770684226,Downtrend,6595.0,7380.0,0.33121019108280253,0,0,Low,Distribusi
2021-02-05,6870.0,6950.0,6855.0,6915.0,51602000,0.00875273522975939,0.5593304986709641,6843.0,6979.25,-0.019522154959343768,Downtrend,6595.0,7380.0,0.40764331210191085,0,0,Low,Distribusi
2021-02-08,7050.0,7055.0,6880.0,6920.0,45604000,0.000723065798987621,0.5297542434704223,6863.0,6958.0,-0.013653348663409025,Downtrend,6595.0,7380.0,0.4140127388535032,0,0,Low,Distribusi
2021-02-09,7000.0,7030.0,6955.0,6980.0,75574000,0.00867052023121384,0.8880386688232906,6899.0,6949.0,-0.00719527989638797,Sideways,6595.0,7300.0,0.5460992907801419,0,0,Low,Distribusi
2021-02-10,7050.0,7050.0,6900.0,6920.0,44984500,-0.008595988538681931,0.5385926872224543,6918.0,6939.0,-0.0030263726761781237,Sideways,6595.0,7300.0,0.46099290780141844,0,0,Low,Distribusi
2021-02-11,6985.0,6985.0,6840.0,6880.0,36926000,-0.005780346820809301,0.4564252396013108,6923.0,6932.0,-0.001298326601269475,Sideways,6595.0,7300.0,0.40425531914893614,0,0,Low,Distribusi
2021-02-15,6830.0,6890.0,6720.0,6800.0,83922000,-0.011627906976744207,1.041137730976769,6900.0,6924.25,-0.0035021843520958947,Sideways,6595.0,7300.0,0.2907801418439716,0,0,Low,Distribusi
2021-02-16,6880.0,6945.0,6830.0,6940.0,47221000,0.020588235294117574,0.6003945329908029,6904.0,6915.25,-0.0016268392321318824,Sideways,6595.0,7300.0,0.48936170212765956,0,0,Low,Distribusi
2021-02-17,6890.0,6960.0,6850.0,6900.0,66011500,-0.0057636887608069065,0.8434715970492581,6888.0,6905.5,-0.002534211860111505,Sideways,6595.0,7300.0,0.4326241134751773,0,0,Low,Distribusi
2021-02-18,6850.0,6900.0,6735.0,6735.0,91204000,-0.023913043478260843,1.1774171737224148,6851.0,6887.5,-0.0052994555353902,Sideways,6595.0,7300.0,0.19858156028368795,0,0,Low,Distribusi
2021-02-19,6780.0,6850.0,6760.0,6825.0,70487500,0.013363028953229383,0.9075949554523618,6840.0,6875.0,-0.005090909090909091,Sideways,6595.0,7200.0,0.38016528925619836,0,0,Low,Distribusi
2021-02-22,6900.0,6940.0,6790.0,6790.0,68913000,-0.00512820512820511,0.8941814560470751,6838.0,6860.5,-0.0032796443407914874,Sideways,6595.0,7200.0,0.32231404958677684,0,0,Low,Distribusi
2021-02-23,6820.0,6845.0,6775.0,6825.0,58360000,0.005154639175257714,0.766438252045373,6815.0,6850.0,-0.0051094890510948905,Sideways,6595.0,7055.0,0.5,0,0,Low,Distribusi
