,precision,recall,f1-score,support
Akumulasi,0.08333333333333333,0.7,0.14893617021276595,10.0
Distribusi,0.16666666666666666,0.6,0.2608695652173913,10.0
Markdown,0.7380952380952381,0.512396694214876,0.6048780487804878,121.0
Markup,0.7567567567567568,0.28,0.40875912408759124,100.0
accuracy,0.42738589211618255,0.42738589211618255,0.42738589211618255,0.42738589211618255
macro avg,0.43621299871299873,0.5230991735537189,0.35586072707455907,241.0
weighted avg,0.6949593339634833,0.42738589211618255,0.4903079405207457,241.0
