,Prediksi_Akumulasi,Prediksi_Distribusi,Prediksi_Markdown,Prediksi_Markup
Aktual_Akumulasi,7,0,3,0
Aktual_Distribusi,1,6,0,3
Aktual_Markdown,34,19,62,6
Aktual_Markup,42,11,19,28
