Date,Close,Return,RVOL,TrendDiff,PricePosition,Breakout,Breakdown,Label
2021-01-04,6835.0,0.0,1.0,0.0,0.8518518518518519,0,0,Akumulasi
2021-01-05,7090.0,0.03730797366495975,1.3724209258483453,0.0,1.0,1,0,Distribusi
2021-01-06,6945.0,-0.020451339915373734,1.1102541424162393,0.0,0.6081081081081081,0,0,Distribusi
2021-01-07,6965.0,0.0028797696184306165,0.9093877785087684,0.0,0.6621621621621622,0,0,Distribusi
2021-01-08,7050.0,0.012203876525484603,0.9646516591028889,0.0,0.8918918918918919,0,0,Distribusi
2021-01-11,7345.0,0.04184397163120557,1.8177397775246686,0.005777883021548706,0.9765625,1,0,Distribusi
2021-01-12,7160.0,-0.025187202178352575,1.0206075006372626,0.005284470540595318,0.6666666666666666,0,0,Distribusi
2021-01-13,7120.0,-0.005586592178770999,0.8395184209732983,0.009095735268094143,0.6060606060606061,0,0,Distribusi
2021-01-14,7020.0,-0.014044943820224698,0.9814305100017031,0.01134896899102789,0.45454545454545453,0,0,Distribusi
2021-01-15,6955.0,-0.0092592592592593,0.9885536873211513,0.010144002269986522,0.3560606060606061,0,0,Distribusi
2021-01-18,7120.0,0.02372393961179009,0.9542752707272915,0.002834868887313962,0.6060606060606061,0,0,Distribusi
2021-01-19,7095.0,-0.0035112359550562022,0.8281339009353085,0.0005194805194805624,0.5681818181818182,0,0,Distribusi
2021-01-20,7095.0,0.0,1.1849337952434593,-0.0005882673348220986,0.5681818181818182,0,0,Distribusi
2021-01-21,7075.0,-0.0028188865398167673,0.7483622394087727,0.0008293719024982668,0.5378787878787878,0,0,Distribusi
2021-01-22,7080.0,0.0007067137809186885,0.9160602085933698,0.004200094384143507,0.5454545454545454,0,0,Distribusi
2021-01-25,7035.0,-0.006355932203389814,0.8779003526571756,0.0020445191839624727,0.4772727272727273,0,0,Distribusi
2021-01-26,6820.0,-0.03056147832267231,1.118850133736795,-0.003739409874379154,0.15151515151515152,0,0,Distribusi
2021-01-27,6790.0,-0.004398826979472137,1.1037063545960994,-0.010387456060665917,0.1259259259259259,0,0,Distribusi
2021-01-28,6900.0,0.016200294550809957,1.168279242712701,-0.014382561144612178,0.28888888888888886,0,0,Distribusi
2021-01-29,6760.0,-0.020289855072463725,1.4475265164070268,-0.021639157249295927,0.08148148148148149,0,0,Distribusi
2021-02-01,6820.0,0.008875739644970349,1.1911274800897906,-0.02766685681688534,0.28662420382165604,0,0,Distribusi
2021-02-02,6800.0,-0.0029325513196480912,0.9220713092857697,-0.026223651304037157,0.2611464968152866,0,0,Distribusi
2021-02-03,6825.0,0.003676470588235281,0.7239579004672198,-0.024386755345777014,0.2929936305732484,0,0,Distribusi
2021-02-04,6855.0,0.00439560439560438,0.8664451777459292,-0.024906956770684226,0.33121019108280253,0,0,Distribusi
2021-02-05,6915.0,0.00875273522975939,0.5593304986709641,-0.019522154959343768,0.40764331210191085,0,0,Distribusi
2021-02-08,6920.0,0.000723065798987621,0.5297542434704223,-0.013653348663409025,0.4140127388535032,0,0,Distribusi
2021-02-09,6980.0,0.00867052023121384,0.8880386688232906,-0.00719527989638797,0.5460992907801419,0,0,Distribusi
2021-02-10,6920.0,-0.008595988538681931,0.5385926872224543,-0.0030263726761781237,0.46099290780141844,0,0,Distribusi
2021-02-11,6880.0,-0.005780346820809301,0.4564252396013108,-0.001298326601269475,0.40425531914893614,0,0,Distribusi
2021-02-15,6800.0,-0.011627906976744207,1.041137730976769,-0.0035021843520958947,0.2907801418439716,0,0,Distribusi
2021-02-16,6940.0,0.020588235294117574,0.6003945329908029,-0.0016268392321318824,0.48936170212765956,0,0,Distribusi
2021-02-17,6900.0,-0.0057636887608069065,0.8434715970492581,-0.002534211860111505,0.4326241134751773,0,0,Distribusi
2021-02-18,6735.0,-0.023913043478260843,1.1774171737224148,-0.0052994555353902,0.19858156028368795,0,0,Distribusi
2021-02-19,6825.0,0.013363028953229383,0.9075949554523618,-0.005090909090909091,0.38016528925619836,0,0,Distribusi
2021-02-22,6790.0,-0.00512820512820511,0.8941814560470751,-0.0032796443407914874,0.32231404958677684,0,0,Distribusi
2021-02-23,6825.0,0.005154639175257714,0.766438252045373,-0.0051094890510948905,0.5,0,0,Distribusi
2021-02-24,6725.0,-0.0146520146520146,0.9607516077640558,-0.009532157335378547,0.2826086956521739,0,0,Distribusi
2021-02-25,6705.0,-0.0029739776951672736,1.0656067656712602,-0.009793889782195586,0.2391304347826087,0,0,Distribusi
2021-02-26,6710.0,0.0007457121551082135,2.2463890930167567,-0.011783649271755837,0.25,0,0,Distribusi
2021-03-01,7045.0,0.049925484351713845,2.5396372343964733,-0.0063908264251542925,0.9782608695652174,0,0,Distribusi
2021-03-02,7015.0,-0.004258339247693366,1.0264429105601507,-0.002260958354605791,0.7184466019417476,0,0,Distribusi
2021-03-03,7000.0,-0.002138275124732747,1.066072651204175,0.004296846551598572,0.6893203883495146,0,0,Distribusi
2021-03-04,6720.0,-0.040000000000000036,1.4748140725848664,0.0055027149156371856,0.14563106796116504,0,0,Akumulasi
2021-03-05,6800.0,0.011904761904761862,1.340478783076787,0.008530805687203791,0.30097087378640774,0,0,Akumulasi
2021-03-08,6720.0,-0.0117647058823529,1.0639492837924887,0.00047460844803037496,0.14563106796116504,0,0,Akumulasi
2021-03-09,6605.0,-0.017113095238095233,1.5078182581997808,-0.009221311475409836,0.008928571428571428,0,1,Akumulasi
2021-03-10,6705.0,0.01514004542013625,0.5673858061619822,-0.01587650790158765,0.1875,0,0,Akumulasi
2021-03-12,6765.0,0.008948545861297452,0.8247404377799649,-0.013435136920930915,0.29464285714285715,0,0,Akumulasi
2021-03-15,6665.0,-0.014781966001478186,0.6299247153511784,-0.015846170815103495,0.11607142857142858,0,0,Akumulasi
2021-03-16,6625.0,-0.006001500375093727,0.7819231216586091,-0.017375938742453245,0.044642857142857144,0,0,Akumulasi
2021-03-17,6610.0,-0.0022641509433962703,0.7794235115469443,-0.0148350431766182,0.017857142857142856,0,0,Akumulasi
2021-03-18,6705.0,0.01437216338880476,0.7623942448986476,-0.01341512990132673,0.1875,0,0,Akumulasi
2021-03-19,6760.0,0.00820283370618946,1.3440520307143544,-0.013745196571090747,0.2857142857142857,0,0,Akumulasi
2021-03-22,6620.0,-0.020710059171597628,0.7222629876519968,-0.013581023572512304,0.03571428571428571,0,0,Akumulasi
2021-03-23,6565.0,-0.0083081570996979,1.3249072979694607,-0.013714878790125288,0.01652892561983471,0,1,Akumulasi
2021-03-24,6440.0,-0.01904036557501909,1.5037218475554384,-0.01594736255157801,0.02702702702702703,0,1,Markdown
2021-03-25,6370.0,-0.010869565217391353,1.1509904578197752,-0.023332090942974282,0.04819277108433735,0,1,Markdown
2021-03-26,6415.0,0.007064364207221452,1.2653814529760707,-0.031525474376213954,0.13372093023255813,0,0,Markdown
2021-03-29,6360.0,-0.008573655494933718,1.0979840116528936,-0.03677627144034155,0.06976744186046512,0,0,Markdown
