Model,Accuracy,Precision,Recall,Macro F1
Random Forest,0.43568464730290457,0.42542762729960526,0.5527685950413223,0.3712640303359868
Support Vector Machine,0.42738589211618255,0.43621299871299873,0.5230991735537189,0.35586072707455907
