,precision,recall,f1-score,support
Akumulasi,0.20588235294117646,0.21875,0.21212121212121213,32.0
Distribusi,0.46153846153846156,0.1111111111111111,0.1791044776119403,54.0
Markdown,0.7878787878787878,0.5777777777777777,0.6666666666666666,90.0
Markup,0.4492753623188406,0.8266666666666667,0.5821596244131455,75.0
accuracy,0.5059760956175299,0.5059760956175299,0.5059760956175299,0.5059760956175299
macro avg,0.4761437411693166,0.4335763888888889,0.41001299520324114,251.0
weighted avg,0.5422950410366475,0.5059760956175299,0.4785716829080059,251.0
