,Prediksi_Akumulasi,Prediksi_Distribusi,Prediksi_Markdown,Prediksi_Markup
Aktual_Akumulasi,7,2,7,16
Aktual_Distribusi,10,6,1,37
Aktual_Markdown,12,3,52,23
Aktual_Markup,5,2,6,62
