Model,Accuracy,Precision,Recall,Macro F1
Random Forest,0.5059760956175299,0.4761437411693166,0.4335763888888889,0.41001299520324114
Support Vector Machine,0.47410358565737054,0.4489467202488981,0.41079861111111116,0.38736575301287135
