Date,Close,Return,RVOL,TrendDiff,PricePosition,Breakout,Breakdown,Label
2021-01-04,129.41000366210938,0.0,1.0,0.0,0.3868616228004228,0,0,Akumulasi
2021-01-05,131.00999450683594,0.01236373386484213,0.8106087643608995,0.0,0.6204369806302438,0,0,Akumulasi
2021-01-06,126.5999984741211,-0.0336615236823381,1.1747465249758366,0.0,0.03042892372825017,0,1,Akumulasi
2021-01-07,130.9199981689453,0.03412322074954277,0.8668595601948449,0.0,0.6279389775349786,0,0,Akumulasi
2021-01-08,132.0500030517578,0.008631262592551314,0.8608359125016863,0.0,0.7842328030044816,0,0,Akumulasi
2021-01-11,128.97999572753906,-0.023248824333729434,0.8469172948400796,0.0006444334542541032,0.35961234673946424,0,0,Akumulasi
2021-01-12,128.8000030517578,-0.0013955084644402538,0.8014396979405992,-0.001630367587351217,0.3347171057699512,0,0,Akumulasi
2021-01-13,130.88999938964844,0.016226679257536736,0.795159614050181,0.0038164587120556558,0.6237897707067265,0,0,Akumulasi
2021-01-14,128.91000366210938,-0.015127173479807188,0.8268923346518186,0.0015108379751958127,0.34993156763407623,0,0,Akumulasi
2021-01-15,127.13999938964844,-0.013730542410815172,1.020484116490742,-0.004070406999863183,0.1051178123591913,0,0,Akumulasi
2021-01-19,127.83000183105469,0.005427107477730786,0.8429414597752742,-0.0047000328974530995,0.20055379037219398,0,0,Akumulasi
2021-01-20,132.02999877929688,0.0328561127128284,0.9714225008956974,-0.0014473406607919074,0.7814659616251131,0,0,Akumulasi
2021-01-21,136.8699951171875,0.03665830782882318,1.1087087159134692,0.003421937539559876,0.7893150595282176,1,0,Akumulasi
2021-01-22,139.07000732421875,0.016073736286376095,1.0519675093926162,0.01405182417451369,0.9420936698722941,0,0,Akumulasi
2021-01-25,142.9199981689453,0.027683832904034755,1.4065083185162177,0.03178729589964339,0.8840193332373713,1,0,Markup
2021-01-26,143.16000366210938,0.0016792995818566414,0.8847711028991443,0.04931045011207227,0.8968469925055773,0,0,Markup
2021-01-27,142.05999755859375,-0.007683752971338942,1.2469784264720105,0.05986850756352463,0.8380545736203987,0,0,Markup
