,precision,recall,f1-score,support
Akumulasi,0.18421052631578946,0.21875,0.2,32.0
Distribusi,0.4,0.1111111111111111,0.17391304347826086,54.0
Markdown,0.7758620689655172,0.5,0.6081081081081081,90.0
Markup,0.4357142857142857,0.8133333333333334,0.5674418604651162,75.0
accuracy,0.47410358565737054,0.47410358565737054,0.47410358565737054,0.47410358565737054
macro avg,0.4489467202488981,0.41079861111111116,0.38736575301287135,251.0
weighted avg,0.51793185050826,0.47410358565737054,0.45051463590613366,251.0
