,Prediksi_Akumulasi,Prediksi_Distribusi,Prediksi_Markdown,Prediksi_Markup
Aktual_Akumulasi,7,3,7,15
Aktual_Distribusi,7,6,1,40
Aktual_Markdown,16,5,45,24
Aktual_Markup,8,1,5,61
